panel,tag,t,power_W,step_W,sd_W,drift_W,n_active,n_idle
a,f64,0.0,2.080891494470677,,,,,
a,f64,1.2365949994325638,2.1187457624112906,,,,,
a,f64,2.4731899988651276,2.0832128171699185,,,,,
a,f64,3.7097849982976916,2.2684262170491936,,,,,
a,f64,4.946379997730255,2.34567667578629,,,,,
a,f64,6.182974997162819,2.1001293273308943,,,,,
a,f64,7.419569996595383,2.0904142433629027,,,,,
a,f64,8.656164996027947,2.19696702783387,,,,,
a,f64,9.89275999546051,2.1057848774195125,,,,,
a,f64,11.129354994893074,2.0976550103040323,,,,,
a,f64,12.365949994325637,2.103310151527642,,,,,
a,f64,13.602544993758201,2.1018319668016128,,,,,
a,f64,14.839139993190766,2.097379701725807,,,,,
a,f64,16.075734992623328,2.0981239599065042,,,,,
a,f64,17.312329992055894,2.097231784198387,,,,,
a,f64,18.548924991488455,2.0951241998846775,,,,,
a,f64,19.78551999092102,2.18312059711129,,,,,
a,f64,21.022114990353586,2.102593367353658,,,,,
a,f64,22.258709989786148,2.105612580070968,,,,,
a,f64,23.495304989218713,2.103032344006504,,,,,
a,f64,24.731899988651275,2.1083435904266126,,,,,
a,f64,25.96849498808384,2.1132375676225803,,,,,
a,f64,27.205089987516402,2.1119403490552844,,,,,
a,f64,28.441684986948967,2.1030123695459677,,,,,
a,f64,29.678279986381533,2.1000048574814514,,,,,
a,f64,30.914874985814095,2.111611366299187,,,,,
a,f64,32.151469985246656,2.171636567132258,,,,,
a,f64,33.388064984679225,2.1516071572887103,,,,,
a,f64,34.62465998411179,2.1154819797479676,,,,,
a,f64,35.86125498354435,2.170204817395967,,,,,
a,f64,37.09784998297691,2.1178101231887094,,,,,
a,f64,38.33444498240948,2.097888870338212,,,,,
a,f64,39.57103998184204,2.094556263695968,,,,,
a,f64,40.8076349812746,2.094669198341129,,,,,
a,f64,42.04422998070717,2.108495801850407,,,,,
a,f64,43.280824980139734,2.0945744181311996,,,,,
a,f64,44.517419979572296,2.0967641936411296,,,,,
a,f64,45.75401497900486,2.1818772244829265,,,,,
a,f64,46.990609978437426,2.102492676287903,,,,,
a,f64,48.22720497786999,2.0952999234910568,,,,,
a,f64,49.46379997730255,2.099283397333065,,,,,
a,f64,50.70039497673512,2.1018287445411286,,,,,
a,f64,51.93698997616768,2.0977113216829264,,,,,
a,f64,53.17358497560024,2.097367922901613,,,,,
a,f64,54.410179975032804,2.0955426118967746,,,,,
a,f64,55.64677497446537,2.0952830162097564,,,,,
a,f64,56.883369973897935,2.1043222062975806,,,,,
a,f64,58.1199649733305,2.1799131410782255,,,,,
a,f64,59.356559972763066,2.0977142772682926,,,,,
a,f64,60.59315497219563,2.093174600630645,,,,,
a,f64,61.82974997162819,2.0925263236,,,,,
a,f64,63.06634497106075,2.0928380358894305,,,,,
a,f64,64.30293997049331,2.0971312676927427,,,,,
a,f64,65.53953496992588,2.1096191083612905,,,,,
a,f64,66.77612996935845,2.099950899788618,,,,,
a,f64,68.012724968791,2.092908697725806,,,,,
a,f64,69.24931996822357,2.092945551379032,,,,,
a,f64,70.48591496765614,2.200581489290244,,,,,
a,f64,71.7225099670887,2.1143855774919356,,,,,
a,f64,72.95910496652127,2.099791903412904,,,,,
a,f64,74.19569996595382,2.098494101280487,,,,,
a,f64,75.43229496538639,2.097277418754839,,,,,
a,f64,76.66888996481896,2.10565980646371,,,,,
a,f64,77.90548496425151,2.1598846828991864,,,,,
a,f64,79.14207996368408,2.1003609902685474,,,,,
a,f64,80.37867496311665,2.0970818144911294,,,,,
a,f64,81.6152699625492,2.096431830227642,,,,,
a,f64,82.85186496198178,2.1842098200072577,,,,,
a,f64,84.08845996141434,2.103958505771774,,,,,
a,f64,85.3250549608469,2.0985878571495937,,,,,
a,f64,86.56164996027947,2.1044235027741935,,,,,
a,f64,87.79824495971202,2.111478922927419,,,,,
a,f64,89.03483995914459,2.096958567320325,,,,,
a,f64,90.27143495857716,2.096929670180645,,,,,
a,f64,91.50802995800971,2.0984148793528457,,,,,
a,f64,92.74462495744228,2.097249474687097,,,,,
a,f64,93.98121995687485,2.097100220174194,,,,,
a,f64,95.21781495630741,2.1632142481853656,,,,,
a,f64,96.45440995573998,2.142013289770968,,,,,
a,f64,97.69100495517255,2.098613176816129,,,,,
a,f64,98.9275999546051,2.097324674758065,,,,,
a,f64,100.16419495403767,2.1035097195821137,,,,,
a,f64,101.40078995347024,2.116005765974193,,,,,
a,f64,102.63738495290279,2.121853017736586,,,,,
a,f64,103.87397995233536,2.0969986519161283,,,,,
a,f64,105.11057495176792,2.0972798098935486,,,,,
a,f64,106.34716995120048,2.1016898836853657,,,,,
a,f64,107.58376495063305,2.1808004600403224,,,,,
a,f64,108.82035995006561,2.1300719381822573,,,,,
a,f64,110.05695494949818,2.101207586804878,,,,,
a,f64,111.29354994893075,2.0970212165064512,,,,,
a,f64,112.5301449483633,2.104621159024193,,,,,
a,f64,113.76673994779587,2.0990810522723575,,,,,
a,f64,115.00333494722844,2.0973984039879037,,,,,
a,f64,116.239929946661,2.0972894808249998,,,,,
a,f64,117.47652494609356,2.1067751480349592,,,,,
a,f64,118.71311994552613,2.1015679283653226,,,,,
a,f64,119.94971494495869,2.1859404789225803,,,,,
a,f64,121.18630994439125,2.106192894482114,,,,,
a,f64,122.42290494382381,2.0973012459314515,,,,,
a,f64,123.65949994325638,2.0961297416556444,,,,,
a,f64,124.89609494268895,2.100997777682114,,,,,
a,f64,126.1326899421215,2.107370243485484,,,,,
a,f64,127.36928494155407,2.0980712464306452,,,,,
a,f64,128.60587994098663,2.095985668962602,,,,,
a,f64,129.8424749404192,2.096631006662903,,,,,
a,f64,131.07906993985176,2.096882253012903,,,,,
a,f64,132.31566493928432,2.183962880739024,,,,,
a,f64,133.5522599387169,2.104251896495161,,,,,
a,f64,134.78885493814946,2.0970244698983875,,,,,
a,f64,136.025449937582,2.0990837641398374,,,,,
a,f64,137.2620449370146,2.1275276933500002,,,,,
a,f64,138.49863993644715,2.1055057797080647,,,,,
